problem,solution
aim-100-1_6-no-1.cnf,unsat
aim-100-1_6-no-2.cnf,unsat
aim-100-1_6-no-3.cnf,unsat
aim-100-1_6-no-4.cnf,unsat
aim-100-1_6-yes1-1.cnf,sat
aim-100-1_6-yes1-2.cnf,sat
aim-100-1_6-yes1-3.cnf,sat
aim-100-1_6-yes1-4.cnf,sat
aim-100-2_0-no-1.cnf,unsat
aim-100-2_0-no-2.cnf,unsat
aim-100-2_0-no-3.cnf,unsat
aim-100-2_0-no-4.cnf,unsat
aim-100-2_0-yes1-1.cnf,sat
aim-100-2_0-yes1-2.cnf,sat
aim-100-2_0-yes1-3.cnf,sat
aim-100-2_0-yes1-4.cnf,sat
aim-100-3_4-yes1-1.cnf,sat
aim-100-3_4-yes1-2.cnf,sat
aim-100-3_4-yes1-3.cnf,sat
aim-100-3_4-yes1-4.cnf,sat
aim-100-6_0-yes1-1.cnf,sat
aim-100-6_0-yes1-2.cnf,sat
aim-100-6_0-yes1-3.cnf,sat
aim-100-6_0-yes1-4.cnf,sat
aim-200-1_6-no-1.cnf,unsat
aim-200-1_6-no-2.cnf,unsat
aim-200-1_6-no-3.cnf,unsat
aim-200-1_6-no-4.cnf,unsat
aim-200-1_6-yes1-1.cnf,sat
aim-200-1_6-yes1-2.cnf,sat
aim-200-1_6-yes1-3.cnf,sat
aim-200-1_6-yes1-4.cnf,sat
aim-200-2_0-no-1.cnf,unsat
aim-200-2_0-no-2.cnf,unsat
aim-200-2_0-no-3.cnf,unsat
aim-200-2_0-no-4.cnf,unsat
aim-200-2_0-yes1-1.cnf,sat
aim-200-2_0-yes1-2.cnf,sat
aim-200-2_0-yes1-3.cnf,sat
aim-200-2_0-yes1-4.cnf,sat
aim-200-3_4-yes1-1.cnf,sat
aim-200-3_4-yes1-2.cnf,sat
aim-200-3_4-yes1-3.cnf,sat
aim-200-3_4-yes1-4.cnf,sat
aim-200-6_0-yes1-1.cnf,sat
aim-200-6_0-yes1-2.cnf,sat
aim-200-6_0-yes1-3.cnf,sat
aim-200-6_0-yes1-4.cnf,sat
aim-50-1_6-no-1.cnf,unsat
aim-50-1_6-no-2.cnf,unsat
aim-50-1_6-no-3.cnf,unsat
aim-50-1_6-no-4.cnf,unsat
aim-50-1_6-yes1-1.cnf,sat
aim-50-1_6-yes1-2.cnf,sat
aim-50-1_6-yes1-3.cnf,sat
aim-50-1_6-yes1-4.cnf,sat
aim-50-2_0-no-1.cnf,unsat
aim-50-2_0-no-2.cnf,unsat
aim-50-2_0-no-3.cnf,unsat
aim-50-2_0-no-4.cnf,unsat
aim-50-2_0-yes1-1.cnf,sat
aim-50-2_0-yes1-2.cnf,sat
aim-50-2_0-yes1-3.cnf,sat
aim-50-2_0-yes1-4.cnf,sat
aim-50-3_4-yes1-1.cnf,sat
aim-50-3_4-yes1-2.cnf,sat
aim-50-3_4-yes1-3.cnf,sat
aim-50-3_4-yes1-4.cnf,sat
aim-50-6_0-yes1-1.cnf,sat
aim-50-6_0-yes1-2.cnf,sat
aim-50-6_0-yes1-3.cnf,sat
aim-50-6_0-yes1-4.cnf,sat
