problem,solution
ii16a1.cnf,sat
ii16a2.cnf,sat
ii16b1.cnf,sat
ii16b2.cnf,sat
ii16c1.cnf,sat
ii16c2.cnf,sat
ii16d1.cnf,sat
ii16d2.cnf,sat
ii16e1.cnf,sat
ii16e2.cnf,sat
ii32a1.cnf,sat
ii32b1.cnf,sat
ii32b2.cnf,sat
ii32b3.cnf,sat
ii32b4.cnf,sat
ii32c1.cnf,sat
ii32c2.cnf,sat
ii32c3.cnf,sat
ii32c4.cnf,sat
ii32d1.cnf,sat
ii32d2.cnf,sat
ii32d3.cnf,sat
ii32e1.cnf,sat
ii32e2.cnf,sat
ii32e3.cnf,sat
ii32e4.cnf,sat
ii32e5.cnf,sat
ii8a1.cnf,sat
ii8a2.cnf,sat
ii8a3.cnf,sat
ii8a4.cnf,sat
ii8b1.cnf,sat
ii8b2.cnf,sat
ii8b3.cnf,sat
ii8b4.cnf,sat
ii8c1.cnf,sat
ii8c2.cnf,sat
ii8d1.cnf,sat
ii8d2.cnf,sat
ii8e1.cnf,sat
ii8e2.cnf,sat
