problem,solution
jnh10.cnf,unsat
jnh11.cnf,unsat
jnh12.cnf,sat
jnh13.cnf,unsat
jnh14.cnf,unsat
jnh15.cnf,unsat
jnh16.cnf,unsat
jnh17.cnf,sat
jnh18.cnf,unsat
jnh19.cnf,unsat
jnh1.cnf,sat
jnh201.cnf,sat
jnh202.cnf,unsat
jnh203.cnf,unsat
jnh204.cnf,sat
jnh205.cnf,sat
jnh206.cnf,unsat
jnh207.cnf,sat
jnh208.cnf,unsat
jnh209.cnf,sat
jnh20.cnf,unsat
jnh210.cnf,sat
jnh211.cnf,unsat
jnh212.cnf,sat
jnh213.cnf,sat
jnh214.cnf,unsat
jnh215.cnf,unsat
jnh216.cnf,unsat
jnh217.cnf,sat
jnh218.cnf,sat
jnh219.cnf,unsat
jnh220.cnf,sat
jnh2.cnf,unsat
jnh301.cnf,sat
jnh302.cnf,unsat
jnh303.cnf,unsat
jnh304.cnf,unsat
jnh305.cnf,unsat
jnh306.cnf,unsat
jnh307.cnf,unsat
jnh308.cnf,unsat
jnh309.cnf,unsat
jnh310.cnf,unsat
jnh3.cnf,unsat
jnh4.cnf,unsat
jnh5.cnf,unsat
jnh6.cnf,unsat
jnh7.cnf,sat
jnh8.cnf,unsat
jnh9.cnf,unsat
