problem,solution
par16-1-c.cnf,sat
par16-1.cnf,sat
par16-2-c.cnf,sat
par16-2.cnf,sat
par16-3-c.cnf,sat
par16-3.cnf,sat
par16-4-c.cnf,sat
par16-4.cnf,sat
par16-5-c.cnf,sat
par16-5.cnf,sat
par32-1-c.cnf,sat
par32-1.cnf,sat
par32-2-c.cnf,sat
par32-2.cnf,sat
par32-3-c.cnf,sat
par32-3.cnf,sat
par32-4-c.cnf,sat
par32-4.cnf,sat
par32-5-c.cnf,sat
par32-5.cnf,sat
par8-1-c.cnf,sat
par8-1.cnf,sat
par8-2-c.cnf,sat
par8-2.cnf,sat
par8-3-c.cnf,sat
par8-3.cnf,sat
par8-4-c.cnf,sat
par8-4.cnf,sat
par8-5-c.cnf,sat
par8-5.cnf,sat
