problem,solution
uf225-0100.cnf,sat
uf225-010.cnf,sat
uf225-011.cnf,sat
uf225-012.cnf,sat
uf225-013.cnf,sat
uf225-014.cnf,sat
uf225-015.cnf,sat
uf225-016.cnf,sat
uf225-017.cnf,sat
uf225-018.cnf,sat
uf225-019.cnf,sat
uf225-01.cnf,sat
uf225-020.cnf,sat
uf225-021.cnf,sat
uf225-022.cnf,sat
uf225-023.cnf,sat
uf225-024.cnf,sat
uf225-025.cnf,sat
uf225-026.cnf,sat
uf225-027.cnf,sat
uf225-028.cnf,sat
uf225-029.cnf,sat
uf225-02.cnf,sat
uf225-030.cnf,sat
uf225-031.cnf,sat
uf225-032.cnf,sat
uf225-033.cnf,sat
uf225-034.cnf,sat
uf225-035.cnf,sat
uf225-036.cnf,sat
uf225-037.cnf,sat
uf225-038.cnf,sat
uf225-039.cnf,sat
uf225-03.cnf,sat
uf225-040.cnf,sat
uf225-041.cnf,sat
uf225-042.cnf,sat
uf225-043.cnf,sat
uf225-044.cnf,sat
uf225-045.cnf,sat
uf225-046.cnf,sat
uf225-047.cnf,sat
uf225-048.cnf,sat
uf225-049.cnf,sat
uf225-04.cnf,sat
uf225-050.cnf,sat
uf225-051.cnf,sat
uf225-052.cnf,sat
uf225-053.cnf,sat
uf225-054.cnf,sat
uf225-055.cnf,sat
uf225-056.cnf,sat
uf225-057.cnf,sat
uf225-058.cnf,sat
uf225-059.cnf,sat
uf225-05.cnf,sat
uf225-060.cnf,sat
uf225-061.cnf,sat
uf225-062.cnf,sat
uf225-063.cnf,sat
uf225-064.cnf,sat
uf225-065.cnf,sat
uf225-066.cnf,sat
uf225-067.cnf,sat
uf225-068.cnf,sat
uf225-069.cnf,sat
uf225-06.cnf,sat
uf225-070.cnf,sat
uf225-071.cnf,sat
uf225-072.cnf,sat
uf225-073.cnf,sat
uf225-074.cnf,sat
uf225-075.cnf,sat
uf225-076.cnf,sat
uf225-077.cnf,sat
uf225-078.cnf,sat
uf225-079.cnf,sat
uf225-07.cnf,sat
uf225-080.cnf,sat
uf225-081.cnf,sat
uf225-082.cnf,sat
uf225-083.cnf,sat
uf225-084.cnf,sat
uf225-085.cnf,sat
uf225-086.cnf,sat
uf225-087.cnf,sat
uf225-088.cnf,sat
uf225-089.cnf,sat
uf225-08.cnf,sat
uf225-090.cnf,sat
uf225-091.cnf,sat
uf225-092.cnf,sat
uf225-093.cnf,sat
uf225-094.cnf,sat
uf225-095.cnf,sat
uf225-096.cnf,sat
uf225-097.cnf,sat
uf225-098.cnf,sat
uf225-099.cnf,sat
uf225-09.cnf,sat
