problem,solution
uuf250-0100.cnf,unsat
uuf250-010.cnf,unsat
uuf250-011.cnf,unsat
uuf250-012.cnf,unsat
uuf250-013.cnf,unsat
uuf250-014.cnf,unsat
uuf250-015.cnf,unsat
uuf250-016.cnf,unsat
uuf250-017.cnf,unsat
uuf250-018.cnf,unsat
uuf250-019.cnf,unsat
uuf250-01.cnf,unsat
uuf250-020.cnf,unsat
uuf250-021.cnf,unsat
uuf250-022.cnf,unsat
uuf250-023.cnf,unsat
uuf250-024.cnf,unsat
uuf250-025.cnf,unsat
uuf250-026.cnf,unsat
uuf250-027.cnf,unsat
uuf250-028.cnf,unsat
uuf250-029.cnf,unsat
uuf250-02.cnf,unsat
uuf250-030.cnf,unsat
uuf250-031.cnf,unsat
uuf250-032.cnf,unsat
uuf250-033.cnf,unsat
uuf250-034.cnf,unsat
uuf250-035.cnf,unsat
uuf250-036.cnf,unsat
uuf250-037.cnf,unsat
uuf250-038.cnf,unsat
uuf250-039.cnf,unsat
uuf250-03.cnf,unsat
uuf250-040.cnf,unsat
uuf250-041.cnf,unsat
uuf250-042.cnf,unsat
uuf250-043.cnf,unsat
uuf250-044.cnf,unsat
uuf250-045.cnf,unsat
uuf250-046.cnf,unsat
uuf250-047.cnf,unsat
uuf250-048.cnf,unsat
uuf250-049.cnf,unsat
uuf250-04.cnf,unsat
uuf250-050.cnf,unsat
uuf250-051.cnf,unsat
uuf250-052.cnf,unsat
uuf250-053.cnf,unsat
uuf250-054.cnf,unsat
uuf250-055.cnf,unsat
uuf250-056.cnf,unsat
uuf250-057.cnf,unsat
uuf250-058.cnf,unsat
uuf250-059.cnf,unsat
uuf250-05.cnf,unsat
uuf250-060.cnf,unsat
uuf250-061.cnf,unsat
uuf250-062.cnf,unsat
uuf250-063.cnf,unsat
uuf250-064.cnf,unsat
uuf250-065.cnf,unsat
uuf250-066.cnf,unsat
uuf250-067.cnf,unsat
uuf250-068.cnf,unsat
uuf250-069.cnf,unsat
uuf250-06.cnf,unsat
uuf250-070.cnf,unsat
uuf250-071.cnf,unsat
uuf250-072.cnf,unsat
uuf250-073.cnf,unsat
uuf250-074.cnf,unsat
uuf250-075.cnf,unsat
uuf250-076.cnf,unsat
uuf250-077.cnf,unsat
uuf250-078.cnf,unsat
uuf250-079.cnf,unsat
uuf250-07.cnf,unsat
uuf250-080.cnf,unsat
uuf250-081.cnf,unsat
uuf250-082.cnf,unsat
uuf250-083.cnf,unsat
uuf250-084.cnf,unsat
uuf250-085.cnf,unsat
uuf250-086.cnf,unsat
uuf250-087.cnf,unsat
uuf250-088.cnf,unsat
uuf250-089.cnf,unsat
uuf250-08.cnf,unsat
uuf250-090.cnf,unsat
uuf250-091.cnf,unsat
uuf250-092.cnf,unsat
uuf250-093.cnf,unsat
uuf250-094.cnf,unsat
uuf250-095.cnf,unsat
uuf250-096.cnf,unsat
uuf250-097.cnf,unsat
uuf250-098.cnf,unsat
uuf250-099.cnf,unsat
uuf250-09.cnf,unsat
